language,uni_lemma,lexical_class,category,definition
French (French),a,function_words,quantifiers,un/une
French (French),a lot,function_words,quantifiers,plein/beaucoup
French (French),above,function_words,prepositions,au dessus de
French (French),after,other,time_words,après
French (French),again,function_words,quantifiers,encore
French (French),airplane,nouns,vehicles,avion
French (French),all,function_words,quantifiers,tous/tout
French (French),all gone,adjectives,descriptive_words,parti
French (French),also,function_words,quantifiers,aussi
French (French),and,function_words,connecting_words,et
French (French),animal,nouns,animals,animal
French (French),another,function_words,quantifiers,un autre
French (French),ant,nouns,animals,fourmi
French (French),apple,nouns,food_drink,pomme
French (French),arm,nouns,body_parts,bras
French (French),armchair,nouns,furniture_rooms,fauteuil
French (French),asleep,adjectives,descriptive_words,endormi
French (French),at,function_words,prepositions,à
French (French),aunt,other,people,tante
French (French),awake,adjectives,descriptive_words,être réveillé
French (French),baby,other,people,bébé
French (French),babysitter,other,people,nounou
French (French),babysitter's name,other,people,nom de la nounou
French (French),bag,nouns,household,sac
French (French),ball,nouns,toys,balle
French (French),ball,nouns,toys,ballon
French (French),banana,nouns,food_drink,banane
French (French),basket,nouns,household,panier
French (French),bath,other,games_routines,bain
French (French),bath,nouns,furniture_rooms,baignoire
French (French),bathroom,nouns,furniture_rooms,salle de bain
French (French),beach,other,outside_places,plage
French (French),beach,other,places,plage
French (French),beads,nouns,clothing,perles
French (French),bear,nouns,animals,ours
French (French),beautiful,adjectives,descriptive_words,beau/belle
French (French),beautiful,adjectives,descriptive_words,joli
French (French),because,function_words,connecting_words,parce que
French (French),bed,nouns,furniture_rooms,lit
French (French),bedroom,nouns,furniture_rooms,chambre
French (French),bee,nouns,animals,abeille
French (French),before,other,time_words,avant
French (French),behind,function_words,prepositions,derrière
French (French),belly button,nouns,body_parts,nombril
French (French),bib,nouns,clothing,bavoir/bavette
French (French),bicycle,nouns,vehicles,vélo
French (French),big,adjectives,descriptive_words,grand
French (French),big,adjectives,descriptive_words,grand/grande
French (French),bird,nouns,animals,oiseau
French (French),bite,verbs,action_words,mordre
French (French),black,adjectives,descriptive_words,noir
French (French),blanket,nouns,household,couverture
French (French),blow,verbs,action_words,souffler
French (French),blue,adjectives,descriptive_words,bleu
French (French),boat,nouns,vehicles,bateau
French (French),book,nouns,toys,livre
French (French),boots,nouns,clothing,bottes
French (French),bottle,nouns,household,biberon
French (French),bottle,nouns,household,bouteille
French (French),bowl,nouns,household,bol
French (French),box,nouns,household,boîte
French (French),boy,other,people,garçon
French (French),bravo,other,games_routines,bravo
French (French),bread,nouns,food_drink,pain
French (French),break,verbs,action_words,casser
French (French),breakfast,other,games_routines,petit déjeuner
French (French),bring,verbs,action_words,apporter
French (French),broken,adjectives,descriptive_words,cassé
French (French),broom,nouns,household,balai
French (French),brother,other,people,frère
French (French),brown,adjectives,descriptive_words,marron
French (French),brush (object),nouns,household,brosse
French (French),bubbles,nouns,toys,bulles
French (French),bucket,nouns,household,seau
French (French),build,verbs,action_words,construire
French (French),bunny,nouns,animals,lapin
French (French),bus,nouns,vehicles,bus
French (French),butt,nouns,body_parts,fesses
French (French),butter,nouns,food_drink,beurre
French (French),butterfly,nouns,animals,papillon
French (French),button,nouns,clothing,boutons
French (French),buy,verbs,action_words,acheter
French (French),bye,other,games_routines,au revoir
French (French),cake,nouns,food_drink,gâteau
French (French),camera,nouns,household,appareil photo
French (French),candy,nouns,food_drink,bonbons
French (French),car,nouns,vehicles,voiture
French (French),carrots,nouns,food_drink,carotte
French (French),carry,verbs,action_words,porter
French (French),cat,nouns,animals,chat
French (French),catch,verbs,action_words,attraper
